Start Time,End Time,Dialogue,Speaker,TextBlob_Score,VADER_Score,Google_Score
1900-01-01 00:10:15.115,"00:10:17,217","WHAT DO YOU THINK? I MEAN, DO I LOOK GOOD ",Laura,0.19374999999999998,0.4404,0.10000000149011612
1900-01-01 00:10:17.317,"00:10:20,020",WHEN I'M SAD? ,Laura,-0.5,-0.4767,-0.6000000238418579
1900-01-01 00:10:20.120,"00:10:21,822",I-- ,Paul,0.0,0.0,0.0
1900-01-01 00:10:21.922,"00:10:24,825",I DON'T THINK ANYBODY LOOKS GOOD WHEN THEY'RE SAD. ,Paul,0.09999999999999998,-0.0516,-0.800000011920929
1900-01-01 00:10:32.265,"00:10:34,567","AND THEN, UH-- ",Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:10:34.668,"00:10:36,704",I DON'T KNOW HOW MUCH I HAD TO DRINK ,Laura,0.2,0.0,-0.5
1900-01-01 00:10:38.672,"00:10:40,373","AND THEN HE, UH, PAID THE BILL ",Laura,0.0,0.0,-0.5
1900-01-01 00:10:40.473,"00:10:42,976","AND HE ASKED ME, ""WOULD YOU LIKE TO GO SOMEWHERE ELSE?"" ",Laura,0.0,0.3612,-0.699999988079071
1900-01-01 00:10:43.076,"00:10:46,113","AND I SAID, ""YES, I'D LIKE TO GO TO THE BATHROOM."" ",Laura,0.0,0.6369,0.5
1900-01-01 00:10:46.213,"00:10:49,216",SO I STOOD UP AND I WENT TO THE BATHROOM. ,Laura,0.0,0.0,0.0
1900-01-01 00:10:49.316,"00:10:51,251",HE FOLLOWS ME. ,Laura,0.0,0.0,0.0
1900-01-01 00:10:51.351,"00:10:55,255","AND YOU WOULDN'T BELIEVE IT, BUT THESE WERE UNISEX BATHROOMS. ",Laura,0.0,0.0,0.0
1900-01-01 00:10:55.355,"00:10:57,524",AM I UNLUCKY OR WHAT? ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:10:57.624,"00:10:59,259","HOW DO YOU MEAN, UNLUCKY? ",Paul,-0.3125,0.0,-0.20000000298023224
1900-01-01 00:10:59.359,"00:11:01,995","WELL, I'M-- I'M RUNNING AWAY FROM A GUY AND I'M-- ",Laura,0.0,0.2732,-0.699999988079071
1900-01-01 00:11:02.095,"00:11:04,732","OH, YEAH, YOU WERE TRYING TO GET AWAY FROM THE GUY. ",Paul,0.0,0.296,-0.699999988079071
1900-01-01 00:11:04.832,"00:11:07,500","RIGHT. I MEAN, I NEEDED TO PEE, YOU KNOW, BY MYSELF. ",Laura,-0.01339285714285715,0.0,0.0
1900-01-01 00:11:07.600,"00:11:09,770",I'VE BEEN DOING THAT SINCE I WAS THREE. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:11:13.040,"00:11:16,476",SO I REALIZED I NEEDED TO MAKE A DECISION. ,Laura,0.0,0.0,0.0
1900-01-01 00:11:16.576,"00:11:18,045",BY FOLLOWING ME TO THE BATHROOM ,Laura,0.0,0.0,0.0
1900-01-01 00:11:18.145,"00:11:21,114",THIS GUY WAS ALSO GIVING ME AN ULTIMATUM. ,Laura,0.0,0.34,-0.4000000059604645
1900-01-01 00:11:21.214,"00:11:23,951","I THOUGHT, ""FUCK, OUT OF THE PAN AND INTO THE FIRE."" ",Laura,-0.4,-0.7096,-0.20000000298023224
1900-01-01 00:11:24.051,"00:11:25,986",I RAN AWAY FROM ONE ULTIMATUM ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:11:26.086,"00:11:29,222",AND THERE WAS THIS GUY WITH A HARD-ON GIVING ME ANOTHER. ,Laura,0.0,0.34,-0.30000001192092896
1900-01-01 00:11:32.760,"00:11:35,996",SUDDENLY I FELT LIKE DOING IT. ,Laura,0.0,0.3612,0.30000001192092896
1900-01-01 00:11:38.665,"00:11:41,835",I NEVER HAD SEX IN A BATHROOM BEFORE. ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:11:43.603,"00:11:47,174","I MEAN, WHAT? I SHOULD GO AND MARRY ANDREW WITHOUT EVER KNOWING ",Laura,-0.3125,0.0,0.0
1900-01-01 00:11:47.274,"00:11:50,744",WHAT A GOOD BATHROOM FUCK'S ALL ABOUT? ,Laura,0.14999999999999997,0.4404,0.0
1900-01-01 00:11:50.844,"00:11:53,038","IT'S PART OF A YOUNG LADY'S EDUCATION, ISN'T IT? ",Laura,0.1,0.0,-0.10000000149011612
1900-01-01 00:11:53.513,"00:11:58,285",SO YOU WANTED TO DO IT BUT NOT TO GET BACK AT ANDREW? ,Paul,0.0,0.0,-0.6000000238418579
1900-01-01 00:11:58.385,"00:12:00,120",JUST FOR YOURSELF? ,Paul,0.0,0.0,-0.20000000298023224
1900-01-01 00:12:00.220,"00:12:03,757",THAT'S RIGHT. ,Laura,0.2857142857142857,0.0,0.4000000059604645
1900-01-01 00:12:03.857,"00:12:07,327",A GIRL BEING FORCED INTO MARRIAGE-- ,Laura,-0.30000000000000004,-0.4588,-0.20000000298023224
1900-01-01 00:12:07.427,"00:12:09,997","WHAT'S SHE SUPPOSED TO DO, DIE IGNORANT? ",Laura,0.0,-0.7184,-0.5
1900-01-01 00:12:12.099,"00:12:16,403",SO THIS GUY FOLLOWS ME INTO THE STALL ,Laura,0.0,-0.2023,-0.5
1900-01-01 00:12:16.503,"00:12:19,372",AND SUDDENLY ,Laura,0.0,0.0,0.0
1900-01-01 00:12:19.472,"00:12:21,842",I WAS HORNY. ,Laura,0.0,0.0,-0.4000000059604645
1900-01-01 00:12:23.844,"00:12:25,813",IS HEARING ABOUT THIS DISGUSTING TO YOU? ,Laura,-1.0,-0.6124,-0.800000011920929
1900-01-01 00:12:25.913,"00:12:29,082","NO, IT'S NOT DISGUSTING. ",Paul,0.5,0.4168,-0.20000000298023224
1900-01-01 00:12:29.182,"00:12:31,018",GO ON. ,Paul,0.0,0.0,0.20000000298023224
1900-01-01 00:12:34.221,"00:12:36,423","HE UNZIPPED, ",Laura,0.0,0.0,0.10000000149011612
1900-01-01 00:12:36.523,"00:12:38,658",PULLED DOWN HIS PANTS ,Laura,-0.15555555555555556,0.0,-0.6000000238418579
1900-01-01 00:12:38.758,"00:12:43,763",AND HE STOOD THERE WITH HIS HUGE-- ,Laura,0.39999999999999997,0.3182,0.5
1900-01-01 00:12:46.666,"00:12:49,837","OH GOD, I FELT LIKE I WAS 16... ",Laura,0.0,0.7241,-0.30000001192092896
1900-01-01 00:12:52.940,"00:12:55,242",TOUCHING IT FOR THE VERY FIRST TIME. ,Laura,0.4125,0.0,0.10000000149011612
1900-01-01 00:12:56.243,"00:13:00,147",I WAS REALLY SURPRISED AT HOW... ,Laura,0.1,0.2944,-0.20000000298023224
1900-01-01 00:13:00.247,"00:13:02,615",WARM IT FELT. ,Laura,0.6,0.2263,0.0
1900-01-01 00:13:02.715,"00:13:06,453","I MEAN, DON'T I KNOW THAT ALREADY? ",Laura,-0.3125,0.0,-0.20000000298023224
1900-01-01 00:13:06.553,"00:13:09,289",AND THEN HE TURNED ME AROUND ,Laura,0.0,0.0,-0.5
1900-01-01 00:13:09.389,"00:13:11,358",TO FACE THE DOOR... ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:13:12.625,"00:13:15,428",AND HE PULLED DOWN MY STOCKINGS. ,Laura,-0.15555555555555556,0.0,-0.6000000238418579
1900-01-01 00:13:16.997,"00:13:19,900","HE LIFTED UP MY SKIRT, ",Laura,0.0,0.0,0.0
1900-01-01 00:13:20.000,"00:13:22,769",PUT HIS HAND INTO HIS BACK POCKET AND PULLED OUT A CONDOM. ,Laura,0.0,0.4939,-0.5
